tweet_text,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
"41 Million Affected And 1,200 Dead By Flooding In India, Bangladesh And Nepal  #ENVIRONMENT #SOCIETY #FLOOD #NEPAL",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Heavy Rain Lashes Chamarajanagar; 4 Buffaloes Washed Away in Flash Floods:  via @YouTube,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Shock new developments revealed after lorry driver crashes on M1 and kills eight,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
I just saw that India has a flood that has killed thousands and now this? I sure do hope its not the end of the,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Please Support @babygirlkeil Flood Relief for 3D Ranch Ministries #3dranchministries #helpthehorses Donate Here -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Flood insurance policies have a 30-day waiting period before they go into effect. Plan now for floods  #PlanAhead,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
.@asadowaisi sends relief for Bihar Flood victims.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Massive reach out to thousand flood victims in makurdi.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Media Release: South Asia #floods crisis: Disease outbreaks, funding shortages compound suffering of #flood survivors.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Assam: Ramdev under fire for sending expired products to Majuli flood victims,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Winners of the Inishowen Flood relief draw  via @officialdonegal,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
One way to avoid persistent storm damage in Vermont? Knock down flood-prone homes,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"COACH DAVE DAUBENMIRE ON FLOOD RELIEF FOR TEXAS  #RaptureWatch, #FloodReliefForTexas,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
@propagandhi This guy kills it at the floor is lava,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Theyre teaching us to cook their way: A Utah food truck is serving thousands of flood victims in,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Have questions about whats in The 21st Century Flood Reform Act? NARs FAQ can help:  #NFIP #FloodInsurance,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Flood waters and landslides through South Asia have killed 1,200. But Western media has paid little attention.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nope, Plenty of open land in the Dakotas that Never floods",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Almost No One Is Talking About Floods In South Asia That Killed 1200 People (WARNING: Photos Are Horrifying)  via,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Flood hit Bihar farmers to be compensated for crop damage within a month  via @DailyhuntApp,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Continued to tour and extend all possible help to the people in flood affected areas of Sirohi district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Our #flood relief efforts are still going on. You can still support the affected in various ways.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Death by drowning is sadly common for #kids in #Bangladeshs Chars. Here boy minds sibling during flood. Visit  #help,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Gov. @LarryHogan is sending a Maryland National Guard unit to Puerto Rico to aid in Hurricane Maria recovery.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RT @ISKCONofHouston: Please help if you can. Read article and find a link. Hare Krishna.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Are dams making us more or less safe re floods + other natural disasters?  @IUCN_Water @Federation @jjopperman,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Please help my uncle and aunt stranded in Kottarithil Lakshmi Nivas, Mundapuzha, Ranni, Pathanamthitta. Rescue by boat or helicopter recommended. Please share and spread. #KeralaFloods #KeralaFloods2018 #keralarescue",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Asian Games : Seema Punia to donate 1 lakh rupees for Kerala flood relief,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Happy Onam to all our sisters&amp;brothers in Kerala.Salute to Army,Government Machinery,Fisher community who have rescued thousands fm marooned water. This humanitarian act reflects the spirit of Onam.Let us express our solidarity to Kerala with big or small donation.#KeralaFloods",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"These are the precautions issued by the Directorate of Health Services for the public and medical workers: - Consume only safe drinking water, preferably boiled. - Wash hands frequently w/soap - Dont consume food soaked with the floodwaters #KeralaFloods",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @eastcoastrail: .@RailMinIndia Relief material #KeralaFloodRelief loaded today at Visakhapatnam Station @drmwat_ecor @SDVSKP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Some essential relief items were distributed by #HAI member Cosmic Community Centre to 100 families in Pandanadu village, Alleppey district, Kerala with help from students of Laa De Institute of Social Sciences. #KeralaFloodRelief",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"What a great idea and idea to support the propel in need a. Love the thought behind #100PipersPlayForACause in Gurgaon and Bengaluru. Music not only entertains us, but also heals and helps rebuild. The event will help contribute to the Kerala flood effort. @100PipersIN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Reestablishing water supply in Kerala. Availability of drinking water is prime concern after floods. Flood has caused severe damage to supply lines. CRPF is immensely engaged in rehabilitation, men are deployed to work day and night on war footing to bring back normalcy.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how many will support if i start donation campaigm for #keralafloods do RT &amp; show ur support. we will collect little contribution from everyone &amp; later will go to kerala &amp; help flood victims.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RT @iBeingSahilkhan: Bhai donate 12Cr To #KeralaFloods #KeralaFloodRelief #SalmanKhan @BeingSalmanKhan A Golden Heart Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"RT @apnnewsindia: Death toll in #Kerala mounts to 210, over 7 lakh displaced.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Use the below links to donate and help people in Kerala .. you can so order food on zomato for people in Kerala (30 per meal) CMRF:  Paytm:  Amazon  Zomato  #Kerala #KeralaFloods RT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"#Todaynewshub, #TeluguNews, #LatestNewsUpdates SBI blocked fake Kerala Flood Relief Fund",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"RT @VarthaBharatiEn: In Kerala’s Alappad, RSS Workers Attacked A Fisherman Who Returned From Flood-Rescue Operations",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Congress President Rahul Gandhi visits a relief camp in Chengannur. He is on a 2-day visit to the flood-hit Kerala. #KeralaFloods,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RT @rameshlaus: Actor @arulnithitamil has donated 5 Lakhs to #Kerala Chief Minister Disaster Relief fund.. #KeralaFloodRelief,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"UAE is offering Rs 700 crore aid to rain-battered Kerala; Qatar is offering Rs 35 crore, Maldives offering Rs 34 lakhs. But Modi govt is not willing to allow it. Is Narendra Modi Is PM of India or only of BJP who can take Funds for his Party. #Keralafloodrelief #KeralaFloods",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kerala has been struck by a devastating flood that has caused immeasurable wreckage. It has taken lives &amp; destroyed homes of the people. #SIIMA stands with Kerala and its people. #KeralaFloodRelief You can help out by donating at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"1094 people died in the 26/7/2005 Mumbai flood. No bragging, boasting, bullshitting, begging, borrowing. We simply limped back to life in a week. Whatever had to be done by the center and state was done speedily. #NoCommieGovt @vasudevan_k #KeralaFloods",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ὄ6 Uttarakhand Floods (2013) Death Toll : 5748 Central Aid to Uttarakhand : 1000 Crore Kerala Aid to Uttarakhand : ZERO (Note : It was Congress Government in Center, Uttarakhand &amp; Kerala) @INCIndia @BJP4India #KeralaFloods #UttarakhandFloods",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Are we supposed to live without electricity in this hot weather and floods everywhere ?Cant even open the windows for some cold air because Mosquitos from the floods is making it worse to live in. @CMOfficeAssam @sarbanandsonwal #AssamCrisis #floods #NoElectricity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Based on the severity of #Keralafloods on August 15, #Dial1298 Emergency Ambulance Services voluntarily started rescue operations and were successful in saving more than 360 people stranded in various parts of the state. Read more -  #Ziqitza",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"#AIMIM Party Workers of Chennai Dist, Tamilnadu organized #KeralaFloodRelief camp &amp; can be seen while collecting donations for #KeralaFloodRelief to help the people who are affected in #KeralaFloods. @asadowaisi",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
.@narendramodi s whatsapp status ❌CANT accept ₹700cr Relief for #KeralaFloods from UAE to #RebuildKerala ✔️CAN only accept donations even from UAE in BJP party fund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"We cannot stay in our home. The roof of the house may collapse any time in the wind. We have lost everything in the floods, even our homes. We do not even have money to rebuild a new house, says a family who was affected by the #KeralaFloods.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Political blame game has started in #Kerala; Opposition leaders including @rameshchennitha say #KeralaFloods is man-made disaster; that release of waters was delayed and warnings were not given causing loss of life and property; govt says no delay, they went by IMD warnings @ndtv",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
I would like to thank fisherman from neighbouring state to come forward and help victims of Kerala. These are working persistently and expecting nothing but saving lives of trapped people. #KeralaFloodRelief.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
.@itsSSR posted a video of the relief workers loading food materials onto a truck. #KeralaFloods #KeralaFloodRelief #KeralaReliefFund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Please donate for Kerala flood victims through Oxfam India. #kerala #floods #donation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"RT @iamvijayakumar: Kerala flood death toll increases to 164. Do your bit, Donate #KeralaFloods",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Death Toll Rises 15, After Rat Fever Scare In Flood-Wrecked Kerala  via Dailyhunt. So far 40 cases of tat never reported.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@wickedvox @topblogger1 Random thought, why cant churches sell off their lands and donate to help in rebuilding #Kerala? #KeralaFloods",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Dear @NoufMarwaai you spoke about Kerala our Hospitality and Food, but didnt see your tweet on #KeralaFloods and #Onam this Festival is not limited to Hindus it belong to every Keralites. Both not yet over so please hurry",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kerala floods: PSU oil companies assure fuel &amp; LPG supplies to state  @bsindia @CMOKerala @IndianOil_Delhi #Kerala #KeralaFloods #KeralaSOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Kerala Floods: Our India team preparing meals for over 10,000 people affected by #KeralaFloods ! We are humbled by our amazing volunteers. To Donate:  @CMOKerala @AlexCrawfordSky @SkyNewsTonight",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Is this good sign for India nd Pakistans relation? I think. Bcoz 1st time in last 72 years, Any Pakistani PM Come forward for humanitarian aid in Indian state #Kerala who face devastated flood. We able to provide any assistance but happy to see this. Thanks PM @ImranKhanPTI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Madhya Pradesh police donated Rs 1.31 crore to Kerala Chief Ministers distress relief fund. All police personnel of state will donate 1 days salary for same: Madhya Pradesh Director General of Police (ANI) Here’s how you can help #KeralaFlood victims:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"As we sleep soundly tonight, there are millions in #Kerala who are struggling for necessities of life due to massive floods. May our prayers &amp; support in whatever form help alleviate their pain. May God be with them &amp; keep them safe. #Kerala you are in our prayers. #KeralaFloods",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Congress President @RahulGandhi meets the flood affected people at TRS Puram Relief Camp, Chalakuddy in Thrissur, Kerala #RebuildingKerala",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Remember during Kashmir floods there was a video of army vehicles falling into flood waters and few kashmiri separatist handles sharing and rejoicing over it Now few sanghis are rejoicing over Kerala floods Conclusion: both are one and the same,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Current Status: Need food and water. water level arround 5 feet. require rescue #KeralaFloods #KeralaSOS #KeralaFloodsHelpNeeded #SOSKerala @KeralaSDMA @kerala_rescue @ndmaindia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"&lt;Thread&gt; After the flood havoc, the UAE government had offered Kerala a help of about Rs 700 crore. But the central government has declined the offer. This is clearly a political decision of the central government vis-a-vis Kerala. (1/n)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
The millions displaced really need your help so please do your bit for #KeralaFloodRelief over here  PLZ Retweet #KeralaFloods #Kerala #KeralaFlood #SaveKerala @CMOKerala @ShashiTharoor @TheNationalUAE @lululemon #MalayalamNews @RealWealthyMen @UN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#wonderful gesture shown by #Indian Auto Industry by donating money to #KerelaFloodRelief. Very difficult see this when #floods happens in #Bihar. #Discrimination #Hypocrites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
#NDTV has decided to adopt three worst affected villages in #Kerala and help rebuild lives. Join us. Lets own it up! #KeralaFloods #KeralaFloodRelief @ndtv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
@mohandastg @alphonstourism Whole fake news was planted to diverte the main issue ie : Who created the floods ? Who is responsible for the death of innocent people in Kerala. Those strategists inside and outside the media are successfull till now . #keralafloods,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Flooded Kerala is pulling out all stops to tackle health problems and prevent disease outbreaks  #KeralaFloods,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"All of us are inundated by calls from people concerned about the #KeralaFloods, particularly conveying SOS requests. @news18kerala has set up an emergency response helpline manned 24x7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @bilal_motorwala: UAE leaders order formation of emergency committee to provide aid to Kerala. #keralafloods #KeralaFloodRelief /,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
A meeting of Fontal Heads was Presided over by MRCC President @sanjaynirupam today at Mumbai Congress HQ to further facilitate relief Items required for Kerala Inhabitants as part of Mumbai Congress Initiative. #KeralaFloods #KeralaFloodRelief,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Friends, heres an @amazon wishlist of things needed by persons with disabilities affected by #KeralaFloods ; please donate generously.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"During the #keralafloods, many kind, brave souls came to the aid of our animal kin- from cats &amp; dogs to crocs &amp; snakes! On behalf of all the lives you touched: Thank You, dear guardian angels. Story: @tinastories Animation: the fabulous Krishna Chandran @kc_kc_kc #ReBuildKerala",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Location: 10°1037.8N 76°1830.5E 30 people at a house 300meters from St Antony’s church (blue sheet roof) . no food or water . mobiles off. reported by others at 11:12 pm,18-08-2018 Fwdg now at 01:58 am, 19.08.18 @CMOKerala @NDRFHQ @kerala_rescue #KeralaFloods #KeralaSOS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
With more being saved and shifted to camps we need uninterrupted supply of food and medicines there. Thanks to all the great souls who are helping us. Shipping rice and other items to palliative care camps #KeralaFloods #LetsDoit #StandWithKerala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
This is sp touching. Groups pf villagers lined up to pay obeisance to fisherfolk going again and again every day to rescue flood victims. True heroes of #KeralaFloodRelief,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RT bollybubble: #KeralaFloods: SrBachchan donates Rs.51 lakh and his personal clothing #AmitabhBachchan #KeralaDonationChallenge #KeralaFloodRelief #BollywoodBubble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
On this #RakshaBandhan one of my sister sent Rakhi from Vizag then I wont give Any gift to Her But is Donating to Kerala #KeralaFloods All Brothers Please do same thing Donate for #KeralaFloodRelief @KTRTRS @PawanKalyan @RaoKavitha @trsharish @actor_nithiin @urstrulyMahesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Thank you @NASSCOMfdn for partnering with @ActionAidIndia for reaching out to most vulnerable floods affected communities in #Keralafloods.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Sikh groups from Noida to send food, clothes, medicines etc to Kerala  #KeralaFloodRelief #KeralaFloods",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"@madhukishwar @myogiadityanath External Affairs Minister, Finance Minister go to AIIMS for treatment but Communist Kerala CM @CMOKerala goes to Capitalist US for treatment, not even to UAE which he claimed was giving ₹700 crore aid to his flood hit State but was refused by Modi Government.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kerala is facing its worst flood in 100 years; death toll climbs to 324,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Update on #OpMadad - More than 3000 persons have been rescued by the armed forces as on date since the start of the operation. More than 750 persons have been provided medical care by the armed forces. #KeralaFloods2018 @nsitharaman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kudos to Megastar Chiranjeevi &amp; Ram Charan for donating big money to the Kerala flood relief fund. They have contributed Rs 50 lakhs . Ram Charans wife is sending medicines worth Rs 10 lakhs &amp; Chiranjeevis mother Anjana Devi is contributing Rs 1 lakh #megastarchiranjeevibdaycdp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Agree totally but the larger point that must go across is that all successive govts during the last few years are responsible for this. Their connivance with money, mafia finished the common man. The disaster &amp; damage caused to ppl is unfathomable #KeralaFloods",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#KeralaAidPolitics | @AnchorAnandN presents the timeline of how the row over Rs 700 crore UAE Kerala aid began. Connecting the dots  #KeralaFloods #SOSKerala,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kerala Mersal Girls Fans Association #ThalapathyVMIMembers Collects And Hand Over Flood Relief Materials To Flood Affecters. @actorvijay @Jagadishbliss @RIAZtheboss #KeralaFloodRelief #KeralaFloods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"We need leaders like this to spread awareness. The time is now, please help. #kerala #KeralaRains #KeralaFloods",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"These trucks are turning septic tank sewage sludge into water that’s safe enough to be disposed of into the environment. As #KeralaFloods2018 waters recede @UNICEF is supporting the government as part of #KeralaFloodRelief clean up #ForEveryChild, a clean environment",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"#IndiaForKerala | We need to start building peoples lives Its a massive scale of work in front of us: @resulp, Oscar and BAFTA winning sound mixer, to NDTV. Here’s how you can help #KeralaFlood victims:  #HelpForKerala",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
@WIONews India Govts stated policy not to accept foreign aid not specific to #KeralaFloods Still such funds can be channeled thru 1000s of NGOs/ biz houses in the state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"To all National Medias and Central Authorities ὄ7 This is the current situation in Kerala . 14 districts in Kerala has been effected ὡ2 This is just a small part . Many houses , roads , over bridges, etc. has been effected. #KeralaRain #KeralaFloods @Forumkeralam1 @Forumreelz",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"#Update#Keralafloods2018 Engineer Task Force of 202 Engineer Regiment rescued total of 1850 personnel including patients, children , ladies and senior citizens. Provided food, water, clothing, medicines. We are at it. #OpMadad #KeralaFloodRelief @PIB_India @SpokespersonMoD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Making music for Kerala victims. WOW! thats really a great step to help the victims, well done..ὄCὄFὤF Very best wishes @taapsee @vickykaushal09 @juniorbachchan @anuragkashyap72 @ItsAmitTrivedi for your concert.ὄD #ManmarziyaanMusicalTour #KeralaFloodRelief",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
