tweet_text,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
"RT @gemecris: Palestine to send medics, aid to Ecuador after deadly earthquake  Shukran Palestine!!! Ὁ6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"RT @bamasevere: Epicenter of the magnitude 7.8 #earthquake was near Muisne, Ecuador.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Devastating Ecuadors earthquake yesterday night! Prayers to all of them! @ Quito, Ecuador",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RT @AP: US State Department says at least one American is among the 350 confirmed dead in Ecuador earthquake:,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @mercnews: Ecuador: 7.8 earthquake kills 77; damage stretches for hundreds of miles,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
נυиισя™ REI opens disaster relief center in Nepal a year after devastating earthquake: April 25 will mark the,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RT @1D_Updates_EU: Thoughts and prayers are going out to everyone effected in Ecuador ὢA #PrayForEcuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RT @AntonellaKahllo: My heart goes to my people #EcuadorEarthquake ὡE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"RT @TaniaPalijo: A powerful 7.8-magnitude earthquake struck Ecuador, destroying buildings and peoples lives. #EcuadorEarthquake .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"RT @IndustriasEc: #EcuadorEarthquake. Every dollar counts. Please, donate through the following accounts. #EcuadorListoYSolidario",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Official European Account for help and relief donations for Ecuadorian victims of Earthquake! #EcuadorEarthquake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"RT @britboy18: Ecuadorian people is strong, Im sending prayers to all the people who lost someone in this earthquake. #PrayForEcuador #Ecu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RT @jorgevargasch: #PrayForEcuador Visit  to donate if you are not in #Ecuador.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RT @SophiyAnjam: Prayers for the victims &amp; their families ὤF Terrible news! ὢ2#EcuadorEarthquake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
238 dead as quake devastates Ecuador’s coast zone: South American states rush aid to the affec  #pakistan #news,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Some really bad news out of Japan and Ecuador this weekend. For what its worth, my thoughts and prayers are with the people there.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"RT @MacCocktail: On this date, April 18, 1906, a major earthquake struck San Francisco with a 7.8 magnitude. 3,000 people died.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @CatholicRelief: Please keep everyone affected by the massive earthquake in #Ecuador in your thoughts &amp; prayers. #EcuadorEarthquake http,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RT @reportedly: .@globalvoices translated more local reports/reactions on the #EcuadorEarthquake,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Independent:  RT IndyUSA: 233 people killed after 7.8-magnitude earthquake hits Ecuador,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"The @CeibaFoundation, @GreenMonkeyFarm and @TMAllianceEC all work 15 mins from #Pedernales. We are coordinating relief. #EcuadorEarthquake",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RT @abc7newsBayArea: #BREAKING: Ecuadors Vice President says at least 28 people have been killed in a powerful 7.8-magnitude earthquake. h,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @NatsCallejas: Please donate for #Ecuador through @QuitoShapers fund @GiGiHadid @KendallJenner @Caradelevingne @BeePrinsloo and RT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RT @shababaty: #EcuadorEarthquake First images of #Pedernales were 300Dead have been reported  via @teleamazonasec,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Not water, not electricity. This earthquake has hit us horrible. We can go through this together. #EcuadorEarthquake",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
How you can help survivors of the massive earthquake in Ecuador: A national emergency has been declared in Ec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RT @NewsyVideos: Dozens are dead after a magnitude-7.8 earthquake hit Ecuador Saturday night.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @bnottingham: @danjackie2014 and Pastor Weaver sending @ChickPub tracts with relief supplies to #EcuadorEarthquake victims /,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"RT @OmanReagan: 36 hours after the earthquake: 500 dead, 2,000 missing, and as many as 100,000 in need of aid. via @nashiraprime .",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @DrGaboRebo: Please help #Ecuador donating in this fund created by the @QuitoShapers @GSPanama @globalshapers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"RT @itvnews: Ecuador earthquake latest: *77 dead, presidents office says *National emergency declared",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"RT @SkyNews: Watch: a 7.8-magnitude earthquake hits Ecuador, causing an entire town to collapse and killing over 70 people",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Retweeted CNN Breaking News (@cnnbrk): Powerful earthquake that hit Ecuador has killed at least 41 people,",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @SkyNewsBreak: 33-year-old Irish nun Theresa Crockett is confirmed to have been among 350 people killed in 7.8 magnitude earthquake whic,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"RT @BBCBreaking: At least 16 people reported killed as huge earthquake hits coastal Ecuador, vice-president says",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Firefighters pull survivor from collapsed building in Manta, on Ecuadors central coast.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"RT @FoxNews: UPDATE: Ecuador vice president says death toll in earthquake rises to 77, more than 570 wounded",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Thousands Ecuadoreans Injured After An Earthquake Smash  vía @waspadaonline,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @businessinsider: Dozens killed as huge earthquake hits Ecuador — and the death toll is expected to rise,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
238 dead as quake devastates Ecuador’s coast zone  #FurorePK #Pakistan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"RT @StephChuang: Recounting hrs,days after #1906quake in #SF.Ceremony pays tribute to victims of #JapanEarthquake #EcuadorEarthquake :",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RT @ditmirbushati: My thoughts &amp; prayers w/ people of #Ecuador. Sincere sympathies to families of victims &amp; to all affected by earthquake.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RT @luxsfre: Heres what could happen if a magnitude 8.0 earthquake struck #SanFrancisco today,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RT @Panda_Brittany1: Ecuador has just experienced an 7.8 magnitude earthquake. There were about 41 deaths. Pray for EcuadorὤFὤF #PrayForEcuad,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @playing4change: Our thoughts go out to all the people affected by the earthquake in Ecuador. #EcuadorEarthquake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RT @rainbowlarryx: @RestingPlatypus there was a 7.8 earthquake in ecuador yesterday u can help the victims donating here itd be great http,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ecuador earthquake: death toll triples to 233 following 7.8-magnitude quake - latest developments,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @CBSNews: Death in the dark: Massive Ecuador quake kills dozens; 6x stronger than Japans last temblor,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @weatherchannel: BREAKING: Death tolls rises to 233 after Saturdays 7.8 #earthquake in Ecuador:,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @rivayeo: donate to help those affected by the earthquake in ecuador!! #canoa #ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RT @ERojasLevi: The most pressing need is finding equipment and professionals to assist in rescue operations. #EcuadorEarthquake,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RT @UNDP: Want to support victims of the #EcuadorEarthquake? Click here to find out how you can donate:  @PNUDEcuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RT @wikileaks: Donate link for Ecuador Red Cross @cruzrojaecuador #EcuadorEarthquake #SismoEcuador #FuerzaEcuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
@JoshSobo not good. My country has suffered a terrible tragedy. In Ecuador last night we had an earthquake. Help us with your prayers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"RT @cnnbrk: Death toll climbs to 413 in Ecuador earthquake, officials say; international aid pours in.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @Lucho_teleSUR: Another example of damaged roads here in Ecuador post earthquake,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @feyalegriaus: 21 @fyaecuador schools have been damaged in the #EcuadorEarthquake. Learn more:  @americamag,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"RT @SenatorPeralta: If want to cooperate to help victims of Ecuador earthquake, please call my office Monday at 718.205.3881 so we can info",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"RT @YourAnonCentral: Since #Ecuador earthquake struck at night, authorities warn, number of confirmed deaths likely higher by morning. htt",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Praying for my friends that live in Manta, Guayaquil and Portoviejo. We will overcome from this earthquake that hit Ecuador",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"@heliisN We are safe, thanks for asking Estonia ὉC it was horrible but the coast is more destroyed than Quito ὢ2",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RT @CBSEveningNews: Frenzied scenes out of Ecuador as rescuers search for deadly earthquake survivors :,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"RT @ABC: JUST IN: Death toll rises to 77 from 41 in Ecuador 7.4-magnitude quake; 588 injured, says VP  /",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @GameCIA: Death toll rises to 262 in Ecuador earthquake: There is a long list of missing people that authorities are loo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Vice President of Ecuador @JorgeGlas says rescue teams are being deployed along the coast where the earthquakes effects have been strongest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RT @BBCWorld: The moment the Ecuador earthquake struck. At least 77 people were killed and 500 injured.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Weve raised $9,185 in just a few hours of having this Ecuador Relief Fund open! That will go a long way towards",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"RT @CPPGeophysics: Many great figures of Ecuador tectonics in , this one shows interseismic GPS &amp; past ruptures http",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RT @shababaty: #Manta Airport after #Ecuador earthquake. Completely destroyed  #PrayForEcuador #AyudaManta,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
@JustinTrudeau why canada can not help Ecuador both country are my home ? Where is the aid ?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @mhjvandenberg: #Earthquake in #Ecuador off coast Manabí leaves 41 people dead @AJENews,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Check it out! I donated to Help Ecuadors earthquake victims  vía @gofundme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RT @TheTodayShow: State of emergency declared in Ecuador as the death toll from a powerful earthquake rises to over 230. #9Today .,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"RT @cctvnews: Death toll from #EcuadorEarthquake climbs to 41, casualties expected to increase, says vice president Jorge Glas",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @SavetheChildren: We are responding to the needs of children and families affected by #earthquake in #Ecuador #EcuadorEarthquake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"77 killed, hundreds hurt in Ecuadors 7.8 earthquake",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Earthquake Kills 41 in Ecuador; Death Toll Expected to Rise: The strongest earthquake to hit Ecuador in decade,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"my heart is aching today for all of the people affected by the earthquake in ecuador last night,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RT @SDGFund: .@UNDP activates donation line to support victims of #EcuadorEarthquake:  cc @PNUDEcuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RT @TwitterMoments: A 7.8-magnitude earthquake struck the coast of #Ecuador on Saturday.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"@TheEllenShow Ellen, the great humanitarian, I ❤, respect n admire u.Will u please encourage donations 4 #EcuadorEarthquake victims? We need",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Powerful Earthquake Hits Ecuadors Coast, Killing At Least 28: At least 28 have been killed after a 7.8 magnit",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @dangerousvarmit: If you want to help the people who lost everything in the earthquake please make your donation! Ecuador needs,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"RT @telesurenglish: Hundreds of Ecuadoreans are donating food, water, and other supplies in Quito. #EcuadorListoYSolidario",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
@viticci @marcoarment @reneritchie Massive earthquake hit us over the weekend. People are in desperate need of help:,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ecuador Earthquake Leaves Dozens Dead As Death Toll Continues To Rise,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RIP to those who died in the #Ecuador earthquake. Praying for those in the area to stay safe. ὤFἿC὇CἿB὇CἿD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RT @DocFossil: 7.8 Earthquake in Ecuador more powerful than Japan. Strongest since 1979. Some landslides block rescue efforts.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RT @humanityfirstuk: Our thoughts are with the people of #Ecuador after the terrible #earthquake last night. HF ready to help if needed.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
My heart goes out to earthquake victims in Ecuador&amp;Japan.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Ecuador’s quake deaths mount amid ruin, misery  #MGWV #TFB #F4F",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @guardian: Dozens killed as magnitude 7.8 earthquake hits Ecuador,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @pastortedwilson: Please pray for the relief and assistance efforts for the dear people of Ecuador.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Latest: Ecuador quake damage could hit $1B; and other MoneyWatch headlines,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
The Rising Death Toll in Ecuadors Earthquake - Officials say at least 233 people have been killed in the count,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @ABCNews24: At least 272 people dead in #EcuadorEarthquake. @marycarvajal tells @bevvo14 that areas are difficult to reach /,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @CoryBooker: My thoughts and prayers are with all those who are struggling and suffering in the aftermath of the earthquakes in Japan an,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RT @RafaelNadalFC: Thoughts going out to those affected by the earthquake in Ecuador. ὡ4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"RT @compassion: While reports of the #EcuadorEarthquake damage are still being gathered, we KNOW help is needed. Give here -",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @SoyFederista: We want to show our support to Ecuador and its people after the horrible earthquake that happened. @Giovalapentti @Andres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ecuador need help donate pleaseὢDὢD #EcuadorEarthquake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.8 magnitude earthquake kills 77 in Ecuador; death toll expected to rise  #Pakistan #News,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
An Earthquake in Ecuador - At least 41 people are dead and dozens are wounded after a quake struck the South Am,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @PageantsNEWS: Praying for the victims of the terrible earthquake today. #PrayForEcuador - From Paris with love ❤️,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RT @ARMcChesney: The Maria Luiz church Adventist church destroyed in quake (from #Ecuador Union),0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @WFP: Our thoughts are w/ people of #Ecuador as #quake claims lives. @WFP monitoring &amp; ready to support Govt response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RT @DaniloEddy: Are you still flying into #Ecuador? Id like to send some items for those affected by the Earthquake today? @FedExHelp @DHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"RT @coffeereview: El Sitio #Ecuador by @LexingtonCoffee Lovely, classic coffee - 94 pts! Review: Review:  Shop: http",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RT @CarlosA56338438: 7.8 earthquake in Ecuador - there have been more than 50 aftershocks in the areas near the epicenter (Pedernales) http,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RT @EdJoyce: [Update] At least 41 killed in 7.8 magnitude #Ecuador earthquake @AP  #Pedernales flattened,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Thanks for your donations, we are working hard to get the help to those in need in Ecuador.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
@TheRock Ecuador suffered a fatal friend earthquake with many victims rt 24 hours ago,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RT @NairaDaily: FLASH: Emergency declared in six provinces as deadly earthquake shakes Ecuadors central coast,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @shababaty: #PrayForEcuador #Ecuador Hope @tamsab mum rescued after 2hours under the rubble of collapsed hotel #Pedernales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"RT @FoxNews: Massive earthquake hits Ecuador, leaving more than 200 dead.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Death toll stands at 233 thus far, countless injured and missing. #PrayForEcuador #EcuadorEarthquake",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Im raising money for Help Ecuadors Earthquake Victims. Click to Donate:  vía @gofundme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"RT @baronesaNY: #Donaciones #FuerzaEcuador - Please, support #EcuadorEarthquake Natural Disaster #Relief",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Powerful 7.8 Magnitude Earthquake Leaves Hundreds Dead in Ecuador,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @seref_i: Condolences and best wishes to all affected by #EcuadorEarthquake. BBC World News would like to talk to you if youre in the a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"RT @USATODAY: UPDATE: 77 killed, hundreds injured in Ecuadors 7.8 earthquake",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @KRRavindran105: Bad News again. strong earthquake strikes Ecuador.More than 200 people were killed. We reach out to them &amp; will do what,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @CBCNews: Ecuador quake death toll climbs sharply to 233,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @guardian: Derry nun among those killed in Ecuador earthquake,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"RT @business: #Ecuador earthquake: - 7.8-magnitude - Pacific coast - Major damage - 41 dead, @AP says  .",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @topMelbourneNow: More than 70 people have been killed after a powerful earthquake struck Ecuador. 9News,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @joelleeid: Thoughts today go to the victims &amp; survivors of tragic #EcuadorEarthquake via @RT_com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"230 deaths as of now and hundreds of injured people. Anything can help, please ❤️  #PrayForEcuador",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @ESM80903: Praying for Ecuador. #EquadorEarthquake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Contributing to Ecuador thru the Red Cross:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"If youre thinking about making a donation to help ECUADOR in the wake of the devastating earthquake, now is the",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RT @andresoventi: Donate to help earthquake victims in #Ecuador   #EcuadorListoYSolidario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
The President of Ecuador @MashiRafael announces death toll now at 272 and could increase considerably,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @telesurenglish: Extent of damage is huge in Portoviejo Ecuador with 1 in 4 buildings destroyed reports correspondent @Lucho_teleSUR htt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @flacaguerrerog: For anyone who would like to help by donating to the Ecuador disaster relief fund please use this image ὤF /,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Click here to support Help for Earthquake Victims ECUADOR by JoseCarlos Pere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RT @AP: BREAKING: Ecuadoran security minister says earthquake death count has risen to 350.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @501Awani: #AWANInews Powerful 7.4 earthquake rocks Ecuador: USGS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RT @SENAE_Aduana: [ATENTION] How to make donations to Ecuador #SismoEcuador #EcuadorEarthquake #EcuadorListoYSolidario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
@cnni  YOUR HELP EXPREDING THE WORD WE NEED ALL THE POSSIBLE HELP #EcuadorEarthquake #TerremotoEcuador @BarackObama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"@UNICEF delivers 20,000 #Water purification tablets to Pedernales area most severely affected by earthquake",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ecuadoreans show solidarity with earthquake victims: More than 350 people die in 7.8 magnitude quake that prom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"RT @fresconews: UPDATE: #EcuadorEarthquake death toll reaches 272, number expected to rise. via @AFP",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hundreds Killed In 7.8 Magnitude Earthquake In Ecuador - CBSN Live Video - CBS News,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
