tweet_text,predictions_event_type,event_type_label,class_label
"REMEMBER another Dem that raised money to help after a disaster, killary, yep, Haiti is still waiting for that help. Im not falling for it this time.",hurricane,wildfires,rescue_volunteering_or_donation_effort
@CGasparino No third term? Thats a comfort. Of course he cant anyway. He will go down as the worst President in history and the damage is still being done. BTW more effing nonsense and lies.,hurricane,wildfires,not_humanitarian
@PGE4Me stock went up 40% on sick people looking to make a buck off the backs of the 100+ killed by #PGEmalfeasance because @JerryBrownGov signed law so rate/tax-payers foot the bill.,hurricane,wildfires,injured_or_dead_people
He should have set up a Charity like @JJWatt did for Harvey Relief! JJ raised almost 30 million !!,hurricane,wildfires,not_humanitarian
So bad for Eric (and all those who have lost their homes) -&gt; Former U.S. soccer star watched home burn down,hurricane,wildfires,infrastructure_and_utility_damage
They have been saying a while now its climate change you moron people dead animals killed homes lost and this is all you can say i hope you get kicked out next time and America gets the president they deserve,hurricane,wildfires,not_humanitarian
"RT @jaazee1: ALL OF CALABASAS UNDER MANDATORY EVACUATION! #FoxNews,#maga,#pjnet,#tcot,#morningJoe,#Reuters,@wmalDC #QAnon,#pjnet",hurricane,wildfires,displaced_people_and_evacuations
That’s a helluva sentence. I had no idea that was even legal. Potential for some major watershed and aquifer damage if leach fields are breached. I mean wow.,hurricane,wildfires,infrastructure_and_utility_damage
"Drone look of Paradise destroyed, Magalia residents that did not evacuate",hurricane,wildfires,other_relevant_information
is he not doing thoughts &amp; prayers anymore,hurricane,wildfires,sympathy_and_support
JMHO - Donating the right way - Never - Ever includes giving ($) to the #RedCross. There are a many other charities that make certain more of each dollar ends up providing direct aid.,hurricane,wildfires,rescue_volunteering_or_donation_effort
"Also, @realdonaldtrump werent you too cheap to install sprinklers in your building?",hurricane,wildfires,not_humanitarian
"Thoughts and prayers” could’ve been enough. If this indifferent person over here is our president, I’m truly disappointed at this country I call home.”",hurricane,wildfires,sympathy_and_support
RT @raynman123: Guess the Haitian relief fund idea has been used up?ᾑ4ὠF἟A἟8἞C἞7ᾒ0,hurricane,wildfires,rescue_volunteering_or_donation_effort
Beyond tragic. So sorry for the many losses of life and homes heartbroken for the poor animals alsoὉ4,hurricane,wildfires,sympathy_and_support
RT @CindyLewis_7: Something is up! These homes look targeted.,hurricane,wildfires,other_relevant_information
@andersoncooper this is more important than the FL election.,hurricane,wildfires,not_humanitarian
Where are the #AllLivesMatter advocates now? Enjoying the holiday with family and friends while Latinos have no choice other than to harvest the food you eat for slave wages at great risk to their health or their kids will starve.,hurricane,wildfires,not_humanitarian
"Paradise volleyball team given new jerseys, $16,000 in donations by opposing team  via @SFGate",hurricane,wildfires,rescue_volunteering_or_donation_effort
"I generally dont comment on any of the non surprising dumb shit he says but Im fairly certain this is one of the few Tweets that I think 99% of Americans find distasteful and stupid, including his fan base",hurricane,wildfires,not_humanitarian
"REMINDER: Trump redirected FEMA emergency aid to pay for baby jails for kidnapped migrants, so we can’t afford to help Americans who are suffering",hurricane,wildfires,not_humanitarian
The bloody Red Cross. Not what you think #qanon #california #DEW #DEWs #Agenda21 #Haiti #WhereAreTheChildren #SaveOurChildren #endchildtrafficking #WWG1WGA #DrainTheDeepState #DeepStateInPanic #ses #serco,hurricane,wildfires,not_humanitarian
100% successful evacuation from a #nursinghome is nothing short of a miracle. Gives the phrase #safedischarge a whole new meaning. ⁦@MASeniorCare⁩ ⁦@GlobeKayLazar⁩ ⁦⁦⁦⁦@H_SeniorLife⁩ ⁦⁦@BaneCareMA⁩ ⁦@LeadingAgeMA⁩,hurricane,wildfires,displaced_people_and_evacuations
"Please go support this cause. Many people are homeless, hungry and need your help.",hurricane,wildfires,requests_or_urgent_needs
I can’t even find the words to respond- how hatefilled a person you are to accuse and say poor management is the reasonand then threaten to remove aid??? Heartless ! I can’t wait until you and your rotten attitude are gone!,hurricane,wildfires,not_humanitarian
And of course the carcases that will float down to Walmart with the rain water,hurricane,wildfires,caution_and_advice
@realDonaldTrump is a schizoid inhuman monster. All deaths are on him hands,hurricane,wildfires,not_humanitarian
RT @ChelseyCrisp: Thank you @nytimes for an honest resource when we’re looking for ways to help. Everyone please give what you can. :,hurricane,wildfires,requests_or_urgent_needs
@RealJamesWoods Here is a list of things evacuees will need. Anyone can help. If you are near the #evacuation areas or know someone who is:,hurricane,wildfires,displaced_people_and_evacuations
MAYBE IF YOUD LEND A HELPING HAND A WHOLE TOWN WOULDNT HAVE BURNED DOWN AND LIVES WOULD BE SAVED AND HOMES AND WILDLIFE PROTECTED YOU POS,hurricane,wildfires,not_humanitarian
"This is a callous Tweet with no concern for real people. @realDonaldTrump could have stopped before that last sentence, but it’s Trump and he always has to make a power play. Disgraceful. Americans are dead. Not the time for grandstanding and political power plays.",hurricane,wildfires,not_humanitarian
"Federal land Trump, that means it’s a Federal issue. Guess who’s in charge of the Executive Branch of the Federal Government? You demanded massive cuts in the funds to maintain these lands. This is 100% on you and now you blame the victims. Turns out that’s all you’re good at.",hurricane,wildfires,not_humanitarian
Thank you @HillaryClinton for bringing awareness to the SoCal Disaster Relief Fund. ❤️ Donate at  or text UWVC to 41444 for Ventura County only.,hurricane,wildfires,rescue_volunteering_or_donation_effort
"An expert on SO MANY things. PEOPLE HAVE DIED, YOU COCK BAG!",hurricane,wildfires,injured_or_dead_people
This is an absolute Nightmare. And has me in tears. I cant believe that the evacuation was so scattered. Its just unbelievable.,hurricane,wildfires,displaced_people_and_evacuations
"Paradise looks apocalyptic, thankfully her family is OK. The death toll continues to rise. Please keep them all in your prayers.",hurricane,wildfires,sympathy_and_support
All help is needed!! And welcomed.,hurricane,wildfires,requests_or_urgent_needs
Gee Im with AMA I guess I should look to change. Im not interested in dealing with poor businesses vendor,hurricane,wildfires,not_humanitarian
Maybe we should just burn down our homes cuz they could be flammable and ignite Our home? Uh Wait a sec. FUCK OFF,hurricane,wildfires,not_humanitarian
"RT @edmontonjournal: Save some applause for Brian Jean, writes @Graham_Journal",hurricane,wildfires,other_relevant_information
RT @Mix1037FMNews: Heres the skinny on current evacuations. #rmwb @Mix1037radio,hurricane,wildfires,displaced_people_and_evacuations
"Charities on-site collecting donations, live br",hurricane,wildfires,rescue_volunteering_or_donation_effort
Evacuation order expand,hurricane,wildfires,displaced_people_and_evacuations
RT @NewsBreaksLive: #Rescue #workers #retrieving pets,hurricane,wildfires,rescue_volunteering_or_donation_effort
@BrianJeanWRP shows grace and resolve under pressure.,hurricane,wildfires,rescue_volunteering_or_donation_effort
I love that the kitty survived.,hurricane,wildfires,sympathy_and_support
Thoughts are with all the Mums &amp; their families today!,hurricane,wildfires,sympathy_and_support
RT @VPRobertATA: Teachers please contact your Locals leadership with this information ASAP @ATACounsellors @atassc,hurricane,wildfires,not_humanitarian
Red Cross will sink 90% of that money into their own non-profit organization though.,hurricane,wildfires,not_humanitarian
RT @disasterCCDR: Director Tim Haney on the complexities of disaster evacuation. . @mountroyal4u @IAEMCdnCouncil @,hurricane,wildfires,displaced_people_and_evacuations
RT @YourAlberta: WILDFIRE ALERT: residents north of the Alexis Reserve should prepare for evacuation. See @AB_EmergAlert for updates :,hurricane,wildfires,displaced_people_and_evacuations
RT @BenjaminSWatson: Heart is breaking for these families,hurricane,wildfires,sympathy_and_support
"Already devastated by oil prices with houses up for sale, could this be a way out for many residents of Ft Mac?",hurricane,wildfires,infrastructure_and_utility_damage
RT @HouckisPokise: CRITICAL WILDFIRE ALERT; and a Local State of Emergency for Little Smoky area please RT,hurricane,wildfires,caution_and_advice
keep them coming along with prayers. These people are living a nightmare. Many have lost everything,hurricane,wildfires,sympathy_and_support
Fundraising efforts are taking place across the country. They included a lemonade stand in Etobicoke  via @cbcnews,hurricane,wildfires,rescue_volunteering_or_donation_effort
"Hoping for weather change, some relief.",hurricane,wildfires,other_relevant_information
Make sure you fill up and keep a full tank cause- evacuation time,hurricane,wildfires,caution_and_advice
#CycloneIdai has left a path of destruction for hundreds of thousands of people in need across Southern Africa. @UNReliefChief allocates US$20M from @UNCERF to ramp up the humanitarian response in ἟2἟F ἟2἟C ἟F἟C But much more is needed &gt;&gt;  #InvestInHumanity,hurricane,hurricane,rescue_volunteering_or_donation_effort
"#CycloneIdai: With humanitarian emergency in Mozambique intensifying by the hour, UN agencies sparing no effort to deliver aid, including food rations &amp; emergency health kits.",hurricane,hurricane,rescue_volunteering_or_donation_effort
"We must not let these people suffer a second disaster through a serious disease outbreak or inability to access essential health services. They have suffered enough, Dr Djamila Cabral, the WHO Representative in #Mozambique,” today to RDP in Lisbon #CycloneIdai",hurricane,hurricane,other_relevant_information
3 boxes of clothes received from Mr &amp; Mrs Chigogora of Midrand towards victims of #CycloneIdai. Thank you baba naAmai @fortunechasi,hurricane,hurricane,rescue_volunteering_or_donation_effort
"More than 922,900 have been affected in 14 areas of Malawi by flooding caused by tropical #CycloneIdai. We’re on the ground delivering essential supplies and our top priority is helping children and families who have lost their homes. #Malawifloods @MalawiUNICEF",hurricane,hurricane,rescue_volunteering_or_donation_effort
We are now moving the Reproductive Kits from #Lilongwe to nine districts. The kits will ensure clean delivery to prevent maternal and neonatal deaths among women and girls affected by floods #CycloneIDAI #MalawiFloods2019 @youngwhong @Esaro_unfpa,hurricane,hurricane,rescue_volunteering_or_donation_effort
"Sorry to be out of Zim during #CycloneIdai, but heartened to hear how the community has pulled together to organise rescue and relief. Excerpt below from my #Chimanimani uncle unwittingly thrust into role of coordinator.",hurricane,hurricane,other_relevant_information
Please spread the word that Chimanimani hotel is a safe haven for those who are stranded. We dont have a lot but we can offer shelter to those who need it. Call or sms Mandla Mataure on 0775541329 #chimanimanicyclone #CycloneIdai #CycloneIdaiUPDATE,hurricane,hurricane,requests_or_urgent_needs
⁦@MSF_Zimbabwe⁩; assessment for medical care #CycloneIdai,hurricane,hurricane,other_relevant_information
CYCLONE IDAI UPDATE: The latest information we are receiving as at 1530pm is that the #CycloneIdai death toll in Zimbabwe has increased to 89.,hurricane,hurricane,injured_or_dead_people
"Our @Masonic_Charity has moved quickly to donate £45,000 to aid agency @PlanUK to help the victims of #CycloneIdai in southern Africa",hurricane,hurricane,rescue_volunteering_or_donation_effort
Its time we put aside our political differences we are one Zimbabwe and at hard times like these lets unite and help the cyclone victims. Tell a friend to tell a friend #CycloneIdai,hurricane,hurricane,sympathy_and_support
CIVIL PROTECTION UNIT DISTRIBUTES FOOD IN CHIPINGE: Today the Civil Protection Unit were busy distributing food to communities affected by #CycloneIdai. More aid is still coming through from Zimbabweans across the country.,hurricane,hurricane,rescue_volunteering_or_donation_effort
@UNFPAMocambique is providing humanitarian assistance to women/girls affected by #CycloneIdai through kits to preserve their dignity and setting up systems to respond to violence against women/girls made even more vulnerable by Idai. Read more here:,hurricane,hurricane,rescue_volunteering_or_donation_effort
Clothes donations being packed at Highlands Presbyterian Church in Harare today. This is the 26th truck thats left from here! #CycloneIdaiUPDATE #CycloneIdaiZW #CycloneIdai,hurricane,hurricane,rescue_volunteering_or_donation_effort
"From tomorrow we pledge to collect any donations from any of our customers with aid, and deliver them daily to the crisis collection centres in Harare. A lot is needed so lets unite and give to those who have been affected the worst. #Ubuntu #LoveZimbabwe #CycloneIDAI",hurricane,hurricane,rescue_volunteering_or_donation_effort
"Govt officials, Security Services members and other stakeholders are firmly on the ground to assist victims of #CycloneIdai Contrary to fake news reports, food aid is distributed fairly at Silver Stream and Skyline Centres to over 30k people in need of food.",hurricane,hurricane,rescue_volunteering_or_donation_effort
"Today @FuelReliefFund provided fuel to orphanage in Dondo, #Mozambique, destroyed by #CycloneIdai. Children with almost nothing left. Devastation all around. This wasnt just a storm, this cyclone has destroyed lives across the country.  @WFP @logcluster",hurricane,hurricane,rescue_volunteering_or_donation_effort
"#CycloneIdai hits Chimanimani, destroying and sweeping away over 10 houses at Ngangu high density suburb Friday midnight. Rusitu valley also affected by floods, with proceeding to higher ground for their safety.",hurricane,hurricane,infrastructure_and_utility_damage
"We never stop taking care of those in need, including little Boogli” - a baby pangolin separated from her mother by wildlife traffickers and rescued by #GorongosaRangers. She slept with us through #CycloneIdai and had to be walked daily, dodging lightening storms and flooding.",hurricane,hurricane,rescue_volunteering_or_donation_effort
Houses destroyed in Chimamimani after Cyclone Idai floods in the Manicaland province of Zimbabwe - 18 March 2019 #Zimbabwe #Chimanimani #CycloneIdai,hurricane,hurricane,infrastructure_and_utility_damage
"RT @FRANCE24: Death toll in Mozambique cyclone, flooding could rise above 1,000",hurricane,hurricane,injured_or_dead_people
Mozambican authorities confirm five cases of cholera in Beira  #Mozambique #Idai #CycloneIdai #CicloeneIdai,hurricane,hurricane,other_relevant_information
"A Zimbabwean man refused to be rescued by police without his bicycle, wheelbarrow, and generator after Cyclone Idai floods in the Manicaland province  #CycloneIdai #Zimbabwe #Manicaland #Chimanimani",hurricane,hurricane,rescue_volunteering_or_donation_effort
We can’t prevent a natural disaster BUT we can prevent a disaster within a disaster” Even the most solid countries in the world are always hit by natural disasters. Its time for Zimbabweans to be together and prevent loss of lives in all areas affected by #CycloneIdai,hurricane,hurricane,other_relevant_information
"The EU has provided a helicopter for the #CycloneIdai relief effort - and today, it started its three week operation under the auspices of the World Food Programme to move relief goods, injured survivors and",hurricane,hurricane,rescue_volunteering_or_donation_effort
#Chimanimani #Chipinge and surrounding areas are going to need help for the next little while. Let’s come together and assist. Drop off info coming soon for all major cities! #Canada #ZimCanada #CycloneIdai,hurricane,hurricane,rescue_volunteering_or_donation_effort
Population flee flash floods and mudslides destroying villages in central #Mozambique  #Idai #CycloneIdai #CicloneIdai,hurricane,hurricane,infrastructure_and_utility_damage
How he survived he remember a friend telling him about drowning prevention and he quickly implemented the friend advise. Guess what the friend knew about this drowning prevention tips after he had attended a @KirstyCoventry water safety and drowning prevention session,hurricane,hurricane,other_relevant_information
Today is a #NationalMourningDay dedicated to #CycloneIdai victims by @edmnangagwa We express our deepest condolences to those who lost their friends and relatives. May the souls of the deceased breadwinners &amp; future leaders rest in power @PamushanaNewsZW @HeraldZimbabwe @matigary,hurricane,hurricane,sympathy_and_support
"Following Cyclone Idai - which has hit Mozambique, Zimbabwe and Malawi - our emergency response team is on the ground carrying out a rapid needs assessment. #CycloneIdai",hurricane,hurricane,rescue_volunteering_or_donation_effort
@Pontifex The entire world pray without ceasing for southern Africa Mozambique/Zimbabwe/ Malawi Cyclone ldai has killed and destroyed families and structures,hurricane,hurricane,sympathy_and_support
"RT @adventistnews: Cyclone Idai: ADRA continues to provide aid in Mozambique, Malawi, and Zimbabwe.",hurricane,hurricane,rescue_volunteering_or_donation_effort
Our hearts and prayers go out to those affected by Cyclone Idai. As @HiHZim we pray for all the families who have lost their loved ones and their homes. We also pray for the safety of those responding with rescue and relief efforts. Please take a moment to donate.,hurricane,hurricane,sympathy_and_support
#CycloneIdai Lets keep praying for our neighbouring country and accummulate any form of aid we can to assist in the process @UNOCHA @UN #TropicalCycloneIdai #Mozambique #MozambiqueFloods2019 #panenyaya #kulendabala,hurricane,hurricane,sympathy_and_support
"@Cycloneidai As we stand in solidarity with those affected by Cyclone Idai ,donations can be made into Steward Bank Account 1004771423",hurricane,hurricane,rescue_volunteering_or_donation_effort
RT @SaintAnthonysFC: Our thoughts and prayers with everyone affected by #CycloneIdai. Stay strong἟2἟F἟F἟C἟2἞C☺️ὉAὊA,hurricane,hurricane,sympathy_and_support
"#CycloneIdai According to ZAKA district administrator Ndeya Nyeda the areas are inaccessible as the bridges along chiredzi river are flooded. FOLLOW ZimCitizenNews on Instagram, Twitter",hurricane,hurricane,other_relevant_information
Partisan(Unfair) Food Distribution in Chimanimani - #CycloneIdai (WATCH) -,hurricane,hurricane,rescue_volunteering_or_donation_effort
"Cyclone Idai has compromised clean water supplies in the affected areas. This is why we are making a donation of mineral water, soap and sanitary pads to assist relief efforts.Our thoughts and prayers go out to those affected by this natural disaster. #cycloneidai",hurricane,hurricane,rescue_volunteering_or_donation_effort
No party regalia please when distributing food aid to #CycloneIdai victims. Lets be professional. This is not a ZANU PF project.,hurricane,hurricane,rescue_volunteering_or_donation_effort
"Urgent appeal for relief and donations for people affected by Cyclone Idai in #Malawi, #Mozambique and #Zimbabwe. @FDC_Moz @NMCF_SA Read Statement here",hurricane,hurricane,requests_or_urgent_needs
My thoughts and prayers are with you whilst I am enjoying the comfy of Abu Dhabi: @edmnangagwa,hurricane,hurricane,sympathy_and_support
"@DanaiGurira @omaze Dear Danai, there is an extremely serious humanitarian crisis in the Eastern part of ZIMBABWE hit by cyclone Idai that swept over Malawi and Mozambique. More than 60 people died in the storm with thousands homeless. We believe u can be the voice of humanity, pls start speaking!",hurricane,hurricane,injured_or_dead_people
We are starving and food distribution is unfair - Chimanimani #CycloneIdai victims (VIDEO) -,hurricane,hurricane,other_relevant_information
"We remain committed to supporting people impacted by Cyclone Idai which has caused devastating loss in Mozambique, Malawi &amp; Zimbabwe. Our thoughts are with the millions affected.",hurricane,hurricane,infrastructure_and_utility_damage
"#cycloneidai Neighbors&amp;Worldwide Humankind will donate Humanitarian aid to the survivors,but d most critical issue is DELIVERY of aid-as such is hampered by floods,inaccessible roads&amp;weather. Humans will Starve&amp;aid Rotted away,Efforts wasted if All Terrain Vehicles r not used.",hurricane,hurricane,rescue_volunteering_or_donation_effort
"@ZB_Bank donated RTGs$60 000 through Red Cross towards the #CycloneIdai victims. The donation includes mealie meal,rice,kapenta,water,blankets and work suits for volunteers #Tinokudai #263chat",hurricane,hurricane,rescue_volunteering_or_donation_effort
"Thanks .@sawyatt. .@WCKitchen you do great work throughout the world. If you are interested in providing food to #Mozambicans without, well connect you with our #GorongosaPark #CycloneIdai Relief Team.",hurricane,hurricane,rescue_volunteering_or_donation_effort
Various stories about how the cyclone ‘exposes’ the govt lack of preparedness. July Moyo has a 1 pg article detailing how sanctions affected the response to natural disasters  so how did Mozambique fair – just as badly!?! @ChigwidaFiona @tambarara @AlexGonese,hurricane,hurricane,other_relevant_information
#CycloneIdai The is some real damage in my area (Villages around Nyika GP) so far I know 2 huts collapsed no one was hurt.,hurricane,hurricane,infrastructure_and_utility_damage
@dudumo So sad that we tend to react to events like this after they have happened. Something should have been done to evacuate people in the affected areas #cycloneidai,hurricane,hurricane,displaced_people_and_evacuations
#Mozambique death toll rises to 417 after cyclone – minister  #Idai #CycloneIdai #CicloneIdai,hurricane,hurricane,injured_or_dead_people
"Following Mozambique and Malawi, Zimbabwe the latest target of #CycloneIdai which has turned into the worst extreme weather event of 2019 so far in terms of loss of life and damage to critical infrastructure #ResilienceForAll #/news/world-africa-47595863",hurricane,hurricane,infrastructure_and_utility_damage
"#CycloneIdai | The first set of cargo flights with our relief supplies have landed in Beira, #Mozambique. Learn more about our emergency response and how you can help:",hurricane,hurricane,rescue_volunteering_or_donation_effort
#HelpForMozambique #HelpForMalawi #HelpForZim. Solidarity continues with all victims of #CycloneIdai which has claimed many #AfricanLives. Strength to all rescue teams trying to save &amp; provide necessities to those still trapped. If it was #France #Africans will be more concerned,hurricane,hurricane,rescue_volunteering_or_donation_effort
"@PacheduZW @Wamagaisa @daddyhope @tumisole @TrevorNcube @edmnangagwa 89 dead, hundreds missing! We have a Deathtoll that is almost equal to that of Mozambique and Malawi where the cyclone struck first days ago with greater intensity???",hurricane,hurricane,injured_or_dead_people
Together we can end #hunger : @FAOemergencies &amp; @WFP are working hand in hand by providing seedsἳD to be planted immediately and foodἵA to families of farmers who lost their crops after #CycloneIdai hit #Mozambique.,hurricane,hurricane,other_relevant_information
"Your brothers and sisters in #Mozambique, #Malawi &amp; #Zimbabwe urgently need your help. #CycloneIdai caused devastation, impacting hundreds of thousands of people. Many people are displaced and need food and water. You can help: . #Idai",hurricane,hurricane,requests_or_urgent_needs
"The Pan African Union expresses solidarity with the people of Zimbabwe, Mozambique and Malawi affected shattered by #CycloneIdai. We pray that God comforts meets all those affected at their points of need. The AU should rise to the occasion. ENDS. Toon by @chrisatuk",hurricane,hurricane,sympathy_and_support
We are putting people and equipment into Mozambique to help those affected by the terrible cyclone. Our hearts are with them. Distributions began before #CycloneIdai hit and we rushed 4 metric tons of high-energy biscuits there today.,hurricane,hurricane,rescue_volunteering_or_donation_effort
"Over the course of the last 10 days, areas of Zimbabwe, Mozambique and Malawi have been devastated by cyclone idai with hundreds of families having been displaced, trapped in areas with difficult terrain to",hurricane,hurricane,displaced_people_and_evacuations
#CycloneIdai Update: Chipinge DA Mr William Mashava said over 100 houses destroyed by #CycloneIdai at the Tongogara refugee camp. Image taken from the flooded Dakate river in Chipinge,hurricane,hurricane,infrastructure_and_utility_damage
"@PacheduZW @daddyhope @maDube_ @DrNkuSibanda this is what people on the ground have verified, not those lies that aid is being politicised. Dont create unnecessary despondency which might actually discourage relief efforts",hurricane,hurricane,other_relevant_information
"Tomorrow marks 1 month since #CycloneIdai struck. As we look back on the horrific days that followed, lives continue to be at risk from disease, lack of food, clean water &amp; shelter. Thanks to donors - please continue to stand w/the people of #Mozambique, #Zimbabwe &amp; #Malawi.",hurricane,hurricane,rescue_volunteering_or_donation_effort
"Residents lining up for selfies with MDC leader Nelson Chamisa before he left the Manicaland province of Zimbabwe on Monday, 18 March 2019 #CycloneIdai #Zimbabwe #NelconChamisa #Chamisa #Manicaland",hurricane,hurricane,not_humanitarian
"Mozambique President Filipe Nyusi has called #CycloneIdai a humanitarian disaster of great proportion. He said more than 1,000 people may have been killed after the cyclone hit the country last week. ➡️",hurricane,hurricane,injured_or_dead_people
"WHO is providing urgent assistance to meet the health needs of thousands of people impacted by #CycloneIdai in Malawi ἟2἟C, Mozambique ἟2἟F and Zimbabwe ἟F἟C.",hurricane,hurricane,rescue_volunteering_or_donation_effort
"RT @ShawnGBarber: Canada pledges an initial C$400,000 to help victims of the Cyclone Idai in Mozambique.",hurricane,hurricane,rescue_volunteering_or_donation_effort
#CycloneIdai Update: The death toll from Cyclone Idai has risen to 82 across the country with many other victims still missing and others awaiting aid.,hurricane,hurricane,injured_or_dead_people
"Following Cyclone Idai - African Union announce support of $350,000 to the three affected countries, with Mozambique, the hardest hit of the 3, to receive $150,000 from emergency AU funds.",hurricane,hurricane,rescue_volunteering_or_donation_effort
"@DivaMandeya @ChiefMakomucha @BMrehwa @i_sibanda @RMajongwe @ali_naka @sekuru_gudo @xandatoto @SibandaSibbs @nyashaneta @cdesetfree Hi @DivaMandeya, on Thursday at @AJStream, we discuss #CycloneIdai. What do you think is needed to protect countries vulnerable to extreme weather? Tweet us your thoughts or record a 30-second video comment here: .",hurricane,hurricane,sympathy_and_support
"As Cyclone Idais death toll rises to 446 from 417 in Mozambique, thousands of families swept apart by the storm are struggling to reunite",hurricane,hurricane,injured_or_dead_people
RT @SlimSEM_: Standard Chartered doing their part! Filling up a truck going towards #Cycloneidai victims. Zimbabwe you are doing well,hurricane,hurricane,other_relevant_information
"#Turkey sends aid, search and rescue team to cyclone-hit #Mozambique  #CycloneIdai #Idai #CicloneIdai",hurricane,hurricane,rescue_volunteering_or_donation_effort
"Devastating news of the destruction wrought by Cyclone Idai across Zimbabwe, Malawi and Mozambique over recent days. Our thoughts are with those who have lost loved ones and livelihoods, and the brave people working to rescue all affected.",hurricane,hurricane,sympathy_and_support
#UKaid is reaching people affected by #CycloneIdai in Mozambique. @WFP_UNHAS helicopters are delivering UK-funded @WFP food and helping the rescue efforts,hurricane,hurricane,rescue_volunteering_or_donation_effort
"RAF plane has just landed at Beira airport with ‘critical supplies’ for victims of #CycloneIdai - food, shelters, lights and water purification kits @gmb",hurricane,hurricane,rescue_volunteering_or_donation_effort
@canembzimbabwe is deeply saddened by the loss of life and destruction in Eastern Zimbabwe caused by #CycloneIdai. Our thoughts are with all of those affected and the first responders working tirelessly to aid in the rescue effort.,hurricane,hurricane,rescue_volunteering_or_donation_effort
"Ngangu township, Chimanimani. Destroyed. Flattened by rocks and mudslide. Villagers here will try rebuild their shattered lives. Pic credit @shingainyoka #cycloneidai",hurricane,hurricane,infrastructure_and_utility_damage
"A #safespace is more than just a shelter where women &amp; girls are protected from gender-based violence. It’s a place where they regain hope, trust, dignity &amp; learn to smile again in the aftershock of #Cycloneidai. Donate today &amp; make this happen:",hurricane,hurricane,rescue_volunteering_or_donation_effort
"@CGwesere @hallaboutafrica @reliefweb reported The rain has caused severe flooding in 14 of Nsanje’s 28 districts so all we have to do as Malawians is give Info instead of debating while fellow citizens there suffer, thanks.",hurricane,hurricane,infrastructure_and_utility_damage
"Today, President @edmnangagwa attended a church service at the Mabelreign #Methodist Church in Zimbabwe as he paid homage to the victims of #CycloneIdai. #IdaiCyclone @InfoMinZW",hurricane,hurricane,sympathy_and_support
Lets all come and rally behind @ZimCricketv as we take on @EmiratesCricket in 4 ODIs at Harare Sports Club this April. All proceeds from one of the matches will go towards #CycloneIdai disaster relief efforts #ZIMvUAE #FillUpHSC,hurricane,hurricane,rescue_volunteering_or_donation_effort
Those who want to donate to the victims of the cyclone via red cross can contact their Operations Director Karikoga Kutadzaushe. He said people can bring the donations to their headquarters in Avondale for small items 10 St Annes. #CycloneIdai,hurricane,hurricane,rescue_volunteering_or_donation_effort
"In CARE’s experience, separating families puts women and girls at risk of sexual exploitation and abuse. In the aftermath of #CycloneIdai CARE is working to reunite families and provide emergency family shelters with solar lighting in bathrooms. Donate:",hurricane,hurricane,rescue_volunteering_or_donation_effort
